,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,martapura,75,ID,1586623456,100,-3.42,114.85,25.0,1.5
1,okhotsk,97,RU,1586623456,96,59.38,143.3,-4.03,0.76
2,yovon,40,TJ,1586623456,93,38.31,69.04,14.0,2.0
3,cape town,40,ZA,1586622832,88,-33.93,18.42,19.44,8.2
4,hornepayne,95,CA,1586623457,74,49.21,-84.77,3.03,4.53
5,beringovskiy,94,RU,1586623068,93,63.05,179.32,-13.82,4.92
6,albany,75,US,1586623160,36,42.6,-73.97,8.89,9.8
7,langsa,58,ID,1586623457,87,4.47,97.97,25.15,1.38
8,ribeira grande,20,PT,1586623055,77,38.52,-28.7,18.0,2.1
9,rikitea,94,PF,1586622809,74,-23.12,-134.97,24.85,1.71
10,bonavista,91,CA,1586623457,91,48.65,-53.11,1.14,8.76
11,polonnaruwa,4,LK,1586623457,83,7.93,81.0,25.09,0.93
12,solnechnyy,58,RU,1586623212,80,50.72,136.63,-0.14,1.68
13,faanui,100,PF,1586623415,73,-16.48,-151.75,28.3,4.2
14,bluff,100,NZ,1586623455,79,-46.6,168.33,11.67,1.34
15,atbasar,96,KZ,1586623458,72,51.8,68.33,5.08,5.2
16,mataura,100,NZ,1586623458,79,-46.19,168.86,11.67,1.34
17,new norfolk,40,AU,1586623458,57,-42.78,147.06,11.0,7.2
18,laguna,90,US,1586623458,82,38.42,-121.42,14.44,2.1
19,bahia blanca,87,AR,1586623209,37,-38.72,-62.27,24.31,6.85
20,puerto ayora,75,EC,1586623453,74,-0.74,-90.35,29.0,4.1
21,jumla,7,NP,1586623458,23,29.27,82.18,8.09,2.13
22,upernavik,100,GL,1586623158,90,72.79,-56.15,-5.71,0.63
23,hithadhoo,49,MV,1586623019,65,-0.6,73.08,29.48,2.99
24,kavieng,97,PG,1586623185,74,-2.57,150.8,28.29,2.09
25,clyde river,75,CA,1586623459,84,70.47,-68.59,-13.0,6.2
26,hilo,1,US,1586623165,82,19.73,-155.09,20.0,2.1
27,cherskiy,100,RU,1586623127,96,68.75,161.3,-11.27,5.16
28,ingham,1,US,1586623459,31,42.6,-84.38,12.22,2.6
29,hirara,94,JP,1586623459,84,24.8,125.28,21.31,11.04
30,mar del plata,75,AR,1586622973,60,-38.0,-57.56,22.22,6.2
